label,lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,lm_63,lm_64,lm_65,lm_66,lm_67,lm_68,lm_69,lm_70,lm_71,lm_72,lm_73,lm_74,lm_75,lm_76,lm_77,lm_78,lm_79,lm_80,lm_81,lm_82,lm_83
A,0.49505362,0.56748194,0.3877278,0.53824097,0.5166452,0.5492451,0.52891684,0.74553,0.436226,0.4469003,0.43768594,0.4444523,0.4362613,0.61890167,0.64205045,0.44292536,0.41676444,0.54714155,0.4447777,0.56329316,0.5202923,0.34842557,0.6547505,0.6795878,0.43872112,0.46122983,0.52858657,0.53344566,0.56585443,0.7010205,0.4823053,0.42017028,0.36206806,0.426907,0.4966873,0.67945576,0.44823888,0.5223788,0.4983577,0.6188393,0.7526933,0.44691312,0.45105606,0.6044161,0.56818914,0.68467075,0.5583928,0.4640708,0.55906546,0.61087036,0.58204824,0.5507274,0.60666746,0.61692953,0.6382159,0.564871,0.4832882,0.5146714,0.6206509,0.41830644,0.5368673,0.46066612,0.5028745,0.62784517,0.5191099,0.5046437,0.3640144,0.5746254,0.56454843,0.71632546,0.4692222,0.521915,0.52493834,0.65774536,0.49047044,0.5279021,0.56078964,0.5186609,0.45535663,0.519409,0.60736316,0.39734846,0.51329696,0.4299879
A,0.6195047,0.34768128,0.4441078,0.53772116,0.65655243,0.49342498,0.44448006,0.6881157,0.35519862,0.2801194,0.54400146,0.4497946,0.3978767,0.57083565,0.5243801,0.44359213,0.37196955,0.5872457,0.56502014,0.4900824,0.6846637,0.3929915,0.34744745,0.4308092,0.4954414,0.52433395,0.4758764,0.53520554,0.37484604,0.64437646,0.49178487,0.61172956,0.53427255,0.54567534,0.55697674,0.54477084,0.5642723,0.63291526,0.5196521,0.5709004,0.49102643,0.64401174,0.43236077,0.68009406,0.4959842,0.3569225,0.51281047,0.43189484,0.58406436,0.4347376,0.45538166,0.31104594,0.45476937,0.25761205,0.34160972,0.57604146,0.57858,0.54254574,0.40330237,0.49522886,0.49963975,0.38416353,0.65033984,0.58773625,0.47790357,0.5026886,0.52083826,0.2958265,0.47528225,0.43180156,0.399838,0.47188997,0.6797687,0.5640843,0.4428821,0.55725825,0.63993555,0.5924634,0.505963,0.4353063,0.5698223,0.53934854,0.5895193,0.5635172
A,0.60495526,0.4464765,0.6317394,0.51975995,0.7075261,0.4310812,0.6735964,0.51979107,0.4348582,0.45161143,0.46796528,0.5424166,0.5522835,0.44263,0.49756455,0.714227,0.6727543,0.5436324,0.50380033,0.5120031,0.5613518,0.39772075,0.47426236,0.33314157,0.5399223,0.5647196,0.45168135,0.6573987,0.37742344,0.3535625,0.5224452,0.6047098,0.6683928,0.45411158,0.6078681,0.49614915,0.48273727,0.588366,0.5652323,0.3423608,0.64765406,0.63800913,0.43744373,0.53958035,0.549403,0.5260674,0.44496948,0.43283767,0.4974446,0.6172729,0.55436003,0.46293858,0.5771699,0.21514574,0.61487657,0.32602862,0.4637559,0.388033,0.37053186,0.61608267,0.45322987,0.5346504,0.49530795,0.5477041,0.5076822,0.37170076,0.59962666,0.45062435,0.3443418,0.4571885,0.650076,0.58502215,0.4651348,0.46507424,0.4678365,0.7076748,0.5381935,0.54300416,0.60302836,0.52387893,0.4740958,0.480365,0.49283987,0.49627778
A,0.57276297,0.5051946,0.573264,0.49192834,0.5078635,0.30017993,0.5916328,0.53464884,0.599801,0.21037444,0.70883745,0.48604104,0.61081827,0.39600942,0.5612774,0.39465845,0.4376231,0.69140315,0.48093176,0.5217433,0.58700675,0.5495682,0.5150419,0.5364961,0.74034154,0.4942381,0.5201099,0.60506546,0.6105526,0.618703,0.56387305,0.3856995,0.6633432,0.38536546,0.53026354,0.4245724,0.49358615,0.53287625,0.5321357,0.5421921,0.6613711,0.5453534,0.47558433,0.5964087,0.618947,0.37723923,0.55974,0.5701173,0.47024366,0.6375707,0.48499444,0.5125576,0.4826928,0.5015579,0.39037248,0.3559949,0.65945053,0.41530386,0.40086076,0.284661,0.43610382,0.367691,0.6642015,0.6009817,0.43118495,0.72524357,0.59817654,0.46751687,0.25005943,0.72909427,0.36104274,0.33546013,0.6022571,0.7439752,0.63842726,0.5563909,0.5594754,0.5853416,0.57589287,0.52811915,0.5104201,0.49374068,0.42460352,0.4719325
A,0.33070433,0.49016604,0.40114087,0.38964108,0.5179894,0.6392002,0.5918317,0.34294993,0.4010372,0.5940771,0.40175125,0.47753668,0.5550052,0.40316555,0.51053756,0.36659744,0.43986323,0.5319782,0.34070063,0.5440475,0.4980362,0.555249,0.52239144,0.63641405,0.51252246,0.45705944,0.51222974,0.5543298,0.50488603,0.5040592,0.42980084,0.43370992,0.35973948,0.6749577,0.3756137,0.43070948,0.42815927,0.58949244,0.47050503,0.6247742,0.43265092,0.52789944,0.41646528,0.7145149,0.38124016,0.5309821,0.5633777,0.5413799,0.48147124,0.48701793,0.5043811,0.4852998,0.5963879,0.7210523,0.44425082,0.3630197,0.4911718,0.7579709,0.41963255,0.6639117,0.6677701,0.44464117,0.5568983,0.66283965,0.4620872,0.47964197,0.44183192,0.39852434,0.43507224,0.37760597,0.5034084,0.42300266,0.5233786,0.34441042,0.533088,0.5833529,0.30062643,0.53740567,0.6227669,0.3790359,0.66725725,0.5419019,0.42949882,0.4944231
A,0.5558327,0.50760055,0.5538756,0.40793264,0.51693606,0.35862854,0.4888774,0.40960923,0.426447,0.6236093,0.60913104,0.5609138,0.3907687,0.46835914,0.62130976,0.5141717,0.73193294,0.5393318,0.5192049,0.46908835,0.51335406,0.484753,0.57081085,0.5956702,0.42140105,0.36687672,0.31637946,0.55079913,0.38966334,0.28471094,0.5388579,0.74929994,0.4993929,0.5838491,0.50818294,0.49011102,0.5919076,0.47097254,0.52673924,0.53216976,0.43319094,0.59920424,0.482504,0.42442548,0.553651,0.4101532,0.5028181,0.4990881,0.60858953,0.54746985,0.4974973,0.5817766,0.63902074,0.555781,0.5010353,0.36881638,0.39348865,0.46947753,0.43904877,0.48130286,0.505665,0.5529693,0.4929501,0.54865015,0.50644743,0.30245334,0.40606645,0.48559123,0.37903053,0.55999285,0.6530751,0.6218762,0.47865573,0.64907265,0.51486677,0.4662914,0.43865973,0.46975303,0.46118233,0.5170416,0.5160574,0.5003046,0.54369384,0.6190646
A,0.59495544,0.3515102,0.24460787,0.593432,0.36331213,0.47752345,0.3829887,0.31980193,0.5541463,0.5759155,0.44234896,0.24089578,0.44537556,0.5391804,0.35210884,0.518336,0.49846902,0.55792916,0.51195806,0.4026931,0.61965716,0.48414704,0.49726954,0.4066732,0.4556718,0.41151974,0.48270538,0.67117083,0.3628099,0.33864385,0.647117,0.47906762,0.4330927,0.6039905,0.43943843,0.682601,0.5677926,0.45120886,0.7157308,0.4394285,0.5742095,0.5299293,0.63017416,0.6561511,0.5032004,0.4246582,0.5459972,0.43222845,0.7013387,0.5136535,0.46346784,0.518468,0.36528736,0.4028386,0.6200414,0.43431056,0.3953089,0.5536653,0.6185704,0.57189536,0.5996048,0.4243205,0.35781893,0.6501334,0.467732,0.4749167,0.6328194,0.555623,0.5455888,0.7165002,0.43564817,0.592784,0.5057013,0.5268592,0.6528468,0.5507836,0.5538296,0.60725075,0.46350473,0.41607904,0.39551908,0.30336434,0.7056207,0.38967916
A,0.47787464,0.47231868,0.5307407,0.5815737,0.58604735,0.44169226,0.48328784,0.52825797,0.4751309,0.66073453,0.5490975,0.57348776,0.5662881,0.61734736,0.51810217,0.3703168,0.5399688,0.4348643,0.44713834,0.5586364,0.6238283,0.5021272,0.5308833,0.6702215,0.5240753,0.7601683,0.556551,0.3239237,0.5753342,0.53811586,0.6289753,0.56731814,0.4861544,0.37757018,0.47909766,0.41494796,0.44194767,0.55885786,0.66699046,0.53946716,0.38041168,0.5444603,0.6196631,0.4390217,0.48659828,0.50146884,0.42151016,0.56482804,0.48790517,0.54195327,0.41125077,0.45625418,0.57223815,0.4627167,0.6726964,0.4600364,0.52246845,0.5932591,0.35816342,0.32391912,0.34743434,0.62625843,0.44481418,0.7558199,0.44357523,0.51845515,0.654211,0.70060927,0.70615035,0.6208366,0.60240626,0.5592527,0.5778361,0.44488144,0.4181801,0.49966255,0.48298153,0.4546772,0.5696387,0.5955305,0.5088407,0.647753,0.3858311,0.48063406
A,0.42831776,0.31334633,0.49173194,0.48782524,0.651345,0.56308115,0.3975813,0.68540925,0.6221034,0.5582098,0.47735158,0.40405607,0.4627793,0.60887486,0.6884586,0.65432435,0.45111507,0.38803825,0.51408863,0.32315606,0.53231674,0.48523974,0.45339635,0.34052968,0.55136,0.44672993,0.3830083,0.21277377,0.4972485,0.6772252,0.6661259,0.4542904,0.4397788,0.54687744,0.40016145,0.5301792,0.576608,0.6226933,0.4899846,0.47963262,0.41220173,0.41731197,0.4773521,0.53673655,0.5913585,0.4196821,0.64926887,0.47288764,0.49786326,0.42527884,0.25757596,0.58840454,0.5736844,0.47186723,0.5066991,0.5515939,0.3437454,0.44709474,0.57942647,0.37457106,0.52935576,0.3643418,0.546643,0.49643585,0.3384868,0.6164739,0.42654085,0.41897476,0.5200569,0.61486375,0.39841783,0.506168,0.54288167,0.56931055,0.51764417,0.46329722,0.41724098,0.50861436,0.3927861,0.20786494,0.543656,0.5903935,0.26370674,0.39902693
A,0.5619154,0.7057495,0.50207937,0.4271997,0.48171034,0.63748765,0.4354036,0.42008078,0.45172566,0.40466714,0.51226705,0.66246784,0.5323079,0.47476465,0.47081888,0.34368092,0.58831096,0.4922163,0.481952,0.8193108,0.5298753,0.4248209,0.45736423,0.61484456,0.511327,0.3561722,0.5919229,0.43318558,0.68732977,0.6080048,0.45526782,0.62810165,0.5067856,0.5852774,0.5484733,0.41536433,0.435645,0.6029961,0.46652246,0.45963514,0.40448773,0.5423599,0.7062525,0.3932467,0.502422,0.64122206,0.49203587,0.5452372,0.39376065,0.5428307,0.48128557,0.59857297,0.6187386,0.7589564,0.5579633,0.53257966,0.51943845,0.46468338,0.5338484,0.47045985,0.5168461,0.63175976,0.39934576,0.61398786,0.6317115,0.48819315,0.2878145,0.4392178,0.62969947,0.4977132,0.40006977,0.4495225,0.584062,0.5546734,0.4761068,0.46331757,0.4608242,0.40775898,0.6615376,0.46776795,0.62171584,0.6521316,0.5998311,0.45683798
A,0.540373,0.49758044,0.40962982,0.53243595,0.38209602,0.6187679,0.45353827,0.520116,0.5283288,0.4741095,0.5586694,0.45250964,0.5871297,0.36540204,0.512638,0.6938929,0.39996687,0.4322255,0.55139077,0.51795816,0.535063,0.5489187,0.56347215,0.61096996,0.5409819,0.47587425,0.56725734,0.6899882,0.48673663,0.40254706,0.61070806,0.4879619,0.28273302,0.5847422,0.4464672,0.49094668,0.53319806,0.51904994,0.5709452,0.45645136,0.5513106,0.47404534,0.57388103,0.5615367,0.4064561,0.60859823,0.44640365,0.5808058,0.53672874,0.68381834,0.4776534,0.4650683,0.49805805,0.46968204,0.5799942,0.33836895,0.39463174,0.3932197,0.5950308,0.67106134,0.4895551,0.48311782,0.5070052,0.6161878,0.40726468,0.5238369,0.59751976,0.5501094,0.51895815,0.60010463,0.22967675,0.5677875,0.43459243,0.3169367,0.5511203,0.6373659,0.48625514,0.59528744,0.6612278,0.6314914,0.66399646,0.57421273,0.5075434,0.3398034
A,0.47539374,0.41567534,0.7170943,0.4824114,0.51232046,0.55514854,0.50436026,0.6695051,0.43773505,0.51946074,0.42575294,0.36799777,0.4388231,0.49629632,0.45706978,0.4307579,0.35936826,0.49168944,0.34952796,0.5760056,0.508244,0.35424483,0.46907908,0.42478436,0.53191745,0.63404506,0.31248274,0.5115026,0.48398674,0.567134,0.5213197,0.42480308,0.46809462,0.4203974,0.6076007,0.50213116,0.6901191,0.49393392,0.4291593,0.34862855,0.31968603,0.3415864,0.52671266,0.5508725,0.34188092,0.5895038,0.4516939,0.5146793,0.6612221,0.58968395,0.47314695,0.41088077,0.28481847,0.42808467,0.47888696,0.40128204,0.4868743,0.5076852,0.4775144,0.43499973,0.5168655,0.54419404,0.3909601,0.64109325,0.49014118,0.50188494,0.57082146,0.5233216,0.59531367,0.5287124,0.43875626,0.53615034,0.3856274,0.510856,0.496677,0.47918832,0.48714626,0.31181508,0.44512752,0.5092845,0.51598567,0.39723247,0.6265708,0.4133825
A,0.5969457,0.5427194,0.43537727,0.6775311,0.38063633,0.5919154,0.60005826,0.43293798,0.6392465,0.47499534,0.5288694,0.5260322,0.48656914,0.58108085,0.57934886,0.3251468,0.63043404,0.33375078,0.6032546,0.61267054,0.39090335,0.45891857,0.38942954,0.4785079,0.46919656,0.57796603,0.63103086,0.6395684,0.4437832,0.47907782,0.33165616,0.419413,0.59648514,0.6615583,0.3765651,0.44075358,0.49735942,0.5280161,0.41903964,0.5424061,0.45261607,0.49855477,0.55462843,0.50064224,0.4563614,0.48903903,0.4911637,0.4629989,0.47412038,0.6598647,0.55609196,0.47045198,0.5696955,0.46661806,0.6173125,0.53696424,0.4892698,0.5447717,0.34291238,0.38732326,0.3806075,0.5142943,0.6732515,0.72313,0.5638051,0.5500845,0.31989422,0.44573262,0.4212216,0.43791524,0.48318562,0.45279095,0.30207002,0.574791,0.3927257,0.5239247,0.70740825,0.40806153,0.24697125,0.47139958,0.610096,0.69583476,0.37704504,0.5496699
A,0.45346895,0.48940516,0.76443434,0.34970295,0.52537394,0.5467693,0.6085786,0.5097983,0.53080505,0.46083516,0.5269127,0.46568078,0.5621572,0.46303898,0.5377101,0.4970737,0.61260504,0.49486062,0.32269675,0.62619215,0.40942678,0.43462336,0.44043386,0.6374438,0.28643256,0.8137748,0.60560566,0.5223239,0.4945106,0.5285554,0.5521122,0.56452155,0.55556047,0.50895804,0.48026615,0.48487267,0.48050916,0.61337703,0.5593557,0.20596114,0.5655901,0.5194736,0.49812913,0.46114814,0.61241126,0.59475267,0.42271224,0.5407052,0.40283433,0.3620382,0.43732828,0.58623934,0.5953125,0.5513085,0.5725096,0.55161786,0.43585184,0.54319227,0.58004093,0.57542914,0.61889136,0.5708304,0.5351448,0.607015,0.49734786,0.41181254,0.4836933,0.42550972,0.43248218,0.48554814,0.420758,0.46920386,0.31063855,0.52132934,0.5001205,0.41829115,0.5659246,0.59375703,0.339244,0.4237275,0.42308575,0.40600967,0.5829475,0.48061737
A,0.47354853,0.29961377,0.5635418,0.37607417,0.50599325,0.5277377,0.63606584,0.36911798,0.19804877,0.51838493,0.68005115,0.62389463,0.52096593,0.4508364,0.58071226,0.40264538,0.5476358,0.550547,0.606021,0.77596605,0.5392416,0.44910362,0.49744257,0.3230924,0.4305287,0.45907176,0.44759116,0.5152355,0.417758,0.61210304,0.5000207,0.49906996,0.46721053,0.5155191,0.5825098,0.41328698,0.43418837,0.4696274,0.3654129,0.41807422,0.45237792,0.58743894,0.52625614,0.519359,0.5850898,0.48626283,0.53904647,0.48967782,0.5265362,0.44172412,0.25611827,0.4865721,0.6422748,0.59262156,0.59653974,0.62361306,0.5088658,0.5197316,0.4382348,0.46839273,0.56157714,0.62038845,0.48605537,0.4549811,0.5000528,0.5601207,0.3556145,0.2703819,0.44494632,0.37792876,0.44918597,0.48522198,0.45467517,0.64524674,0.5326745,0.5300474,0.5622207,0.38611668,0.60391116,0.49242356,0.5670481,0.39281428,0.3446241,0.58178896
A,0.5376409,0.40979484,0.4130337,0.61254346,0.3810588,0.6642673,0.40993792,0.5638392,0.46713814,0.56031877,0.4455886,0.48372072,0.5040919,0.39978126,0.57408243,0.44867864,0.47714,0.40056506,0.24376664,0.48089722,0.74126154,0.57846045,0.49807397,0.47371092,0.5022466,0.55471194,0.38191873,0.6114322,0.57153815,0.5718186,0.54384756,0.50196165,0.56728613,0.5591814,0.4645959,0.44263983,0.51018566,0.65490204,0.37608927,0.35324746,0.5164761,0.50508875,0.51733416,0.52439535,0.4776798,0.64898634,0.3399096,0.4171503,0.48967454,0.3356811,0.48241457,0.666147,0.50208867,0.5230701,0.3739835,0.43836385,0.46248037,0.4682285,0.6281644,0.5557691,0.3888542,0.52465045,0.54982215,0.6140149,0.65805405,0.39849058,0.41891426,0.3742422,0.47659802,0.54663587,0.5987334,0.4924049,0.46801525,0.5151758,0.4164857,0.70895386,0.33923388,0.51847404,0.70236063,0.50067997,0.4809961,0.46425545,0.48196083,0.6372849
